Word,Frequency
biden,7
gop,7
trump,5
poll,5
debate,5
2024,3
lead,3
wsj,3
finds,3
ahead,2
alabama,2
hunter,2
defies,2
subpoena,2
singes,2
blazes,2
flunk,2
university,2
presidents,2
last,2
notable,2
quotable,2
electeds,2
boston,2
takes,2
night,2
takeaways,2
fuel,2
race,2
approval,2
hits,2
new,2
low,2
nomination,2
rise,2
haley,2
five,2
performances,2
democrats,2
house,2
votes,1
reveals,1
cuts,1
world,1
approve,1
harvard,1
clash,1
ackman,1
bill,1
probe,1
impeachment,1
messy,1
concessions,1
big,1
donations,1
white,1
offer,1
toward,1
border,1
talks,1
tesla,1
recalls,1
two,1
million,1
vehicles,1
autopilot,1
safety,1
rate,1
exclusivetrump,1
pivot,1
begins,1
holds,1
desantis,1
closely,1
watched,1
iowa,1
watch,1
tonight,1
republican,1
challenge,1
taking,1
numbers,1
cost,1
hiring,1
au,1
pairs,1
could,1
double,1
administration,1
proposal,1
exclusivemajority,1
americans,1
back,1
israel,1
split,1
war,1
hamas,1
fed,1
concerns,1
